path,v,a,q,dist,filename
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\. Love Yourself_V4.65_A4.82_忧伤.mp3,0.465,0.48200000000000004,2,0.3935733730830881,. Love Yourself_V4.65_A4.82_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\05 You Was Right_V4.08_A4.90_忧伤.mp3,0.40800000000000003,0.49000000000000005,2,0.9254188241007418,05 You Was Right_V4.08_A4.90_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1001_V4.60_A4.11_忧伤.mp3,0.45999999999999996,0.41100000000000003,2,0.975756117070244,1001_V4.60_A4.11_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1002_V4.13_A3.53_忧伤.mp3,0.413,0.353,2,1.7081569014584115,1002_V4.13_A3.53_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1003_V4.83_A3.82_忧伤.mp3,0.483,0.382,2,1.1921828718783039,1003_V4.83_A3.82_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1004_V4.73_A4.79_忧伤.mp3,0.47300000000000003,0.479,2,0.342052627529741,1004_V4.73_A4.79_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1006_V4.69_A3.60_忧伤.mp3,0.46900000000000003,0.36,2,1.4339107364128352,1006_V4.69_A3.60_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1008_V4.96_A4.36_忧伤.mp3,0.496,0.43600000000000005,2,0.6412487816752556,1008_V4.96_A4.36_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1009_V4.74_A4.67_忧伤.mp3,0.47400000000000003,0.46699999999999997,2,0.420119030752,1009_V4.74_A4.67_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1010_V4.75_A4.80_忧伤.mp3,0.475,0.48,2,0.32015621187164256,1010_V4.75_A4.80_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1012_V4.20_A4.42_忧伤.mp3,0.42000000000000004,0.442,2,0.9881295461628499,1012_V4.20_A4.42_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1013_V4.15_A3.86_忧伤.mp3,0.41500000000000004,0.386,2,1.4220056258679146,1013_V4.15_A3.86_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1014_V4.35_A4.01_忧伤.mp3,0.43499999999999994,0.40099999999999997,2,1.1843141475132353,1014_V4.35_A4.01_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1015_V4.55_A4.82_忧伤.mp3,0.45499999999999996,0.48200000000000004,2,0.4846648326421054,1015_V4.55_A4.82_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1016_V4.04_A3.33_忧伤.mp3,0.404,0.333,2,1.9262658175859322,1016_V4.04_A3.33_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1017_V4.98_A3.88_忧伤.mp3,0.49800000000000005,0.388,2,1.1201785571952358,1017_V4.98_A3.88_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1018_V4.44_A3.98_忧伤.mp3,0.44400000000000006,0.398,2,1.1636150566231083,1018_V4.44_A3.98_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1019_V4.97_A3.73_忧伤.mp3,0.497,0.373,2,1.2703542812932147,1019_V4.97_A3.73_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\101_V4.09_A3.21_忧伤.mp3,0.409,0.321,2,2.008033864256278,101_V4.09_A3.21_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1020_V4.71_A3.82_忧伤.mp3,0.471,0.382,2,1.2151131634543346,1020_V4.71_A3.82_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1021_V4.97_A4.29_忧伤.mp3,0.497,0.429,2,0.7106335201775947,1021_V4.97_A4.29_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1022_V3.97_A3.48_忧伤.mp3,0.397,0.348,2,1.8361100184901775,1022_V3.97_A3.48_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1023_V4.23_A3.42_忧伤.mp3,0.42300000000000004,0.34199999999999997,2,1.7576404638036756,1023_V4.23_A3.42_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1024_V3.87_A3.58_忧伤.mp3,0.387,0.358,2,1.8147451611727745,1024_V3.87_A3.58_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1026_V4.05_A3.25_忧伤.mp3,0.40499999999999997,0.325,2,1.9912307751739877,1026_V4.05_A3.25_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1027_V4.50_A4.63_忧伤.mp3,0.45,0.46299999999999997,2,0.6220128616033596,1027_V4.50_A4.63_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1028_V4.68_A4.58_忧伤.mp3,0.46799999999999997,0.458,2,0.5280151512977636,1028_V4.68_A4.58_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1029_V4.58_A4.89_忧伤.mp3,0.458,0.489,2,0.4341658669218482,1029_V4.58_A4.89_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1031_V4.86_A4.44_忧伤.mp3,0.48600000000000004,0.44400000000000006,2,0.577234787586472,1031_V4.86_A4.44_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1032_V4.44_A4.18_忧伤.mp3,0.44400000000000006,0.418,2,0.9929753269845127,1032_V4.44_A4.18_忧伤.mp3
d:\music\audiolist\audio低愉悦_低唤醒_忧伤\1033_V4.56_A4.86_忧伤.mp3,0.45599999999999996,0.48600000000000004,2,0.46173585522460814,1033_V4.56_A4.86_忧伤.mp3
